ID,TYPE,VALUE,DESC
A,T1,83,Desc-1
A,T1,45,Desc-2
A,T1,12,Desc-3
A,T1,99,Desc-4
A,T1,30,Desc-5
A,T2,7,Desc-6
A,T2,68,Desc-7
A,T2,23,Desc-8
A,T2,51,Desc-9
A,T2,88,Desc-10
B,T1,15,Desc-11
B,T1,72,Desc-12
B,T1,41,Desc-13
B,T1,3,Desc-14
B,T1,64,Desc-15
B,T2,92,Desc-16
B,T2,28,Desc-17
B,T2,57,Desc-18
B,T2,19,Desc-19
B,T2,81,Desc-20
C,T1,33,Desc-21
C,T1,75,Desc-22
C,T1,49,Desc-23
C,T1,60,Desc-24
C,T1,2,Desc-25
C,T2,96,Desc-26
C,T2,11,Desc-27
C,T2,78,Desc-28
C,T2,43,Desc-29
C,T2,25,Desc-30
D,T1,54,Desc-31
D,T1,89,Desc-32
D,T1,17,Desc-33
D,T1,66,Desc-34
D,T1,38,Desc-35
D,T2,9,Desc-36
D,T2,71,Desc-37
D,T2,47,Desc-38
D,T2,22,Desc-39
D,T2,85,Desc-40
E,T1,5,Desc-41
E,T1,69,Desc-42
E,T1,36,Desc-43
E,T1,94,Desc-44
E,T1,20,Desc-45
E,T2,62,Desc-46
E,T2,14,Desc-47
E,T2,80,Desc-48
E,T2,40,Desc-49
E,T2,31,Desc-50
